plugins,frequency_in_ms,execution_time_in_ms,overhead
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo,700,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo,800,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo,900,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl,1000,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl,500,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl,600,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl,700,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl,800,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl,900,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_rapl,1000,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_rapl+mf_rapl,500,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_rapl+mf_rapl+mf_rapl,600,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_rapl+mf_rapl+mf_rapl+mf_rapl,700,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_rapl+mf_rapl+mf_rapl+mf_rapl+mf_rapl,800,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_papi+rapl+mf_rapl+mf_rapl+mf_rapl+mf_rapl+mf_rapl+mf_rapl,900,,100
